"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 13 16:32:48 BDT 2023","Thu Jul 13 16:32:51 BDT 2023","2560","Suite","Test","testcases.PrivacyPoliceTestCases","testcases.PrivacyPoliceTestCases","ccpaPrivacyTittleVerify","ccpaPrivacyTittleVerify",""
"passed","Thu Jul 13 16:28:20 BDT 2023","Thu Jul 13 16:28:29 BDT 2023","9205","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","logoutCreateButtonTest","logoutCreateButtonTest",""
"passed","Thu Jul 13 16:38:47 BDT 2023","Thu Jul 13 16:38:52 BDT 2023","5180","Suite","Test","testcases.RegisterTestCases","testcases.RegisterTestCases","registerWithInvalidEmailFormat","registerWithInvalidEmailFormat",""
"passed","Thu Jul 13 16:34:29 BDT 2023","Thu Jul 13 16:34:36 BDT 2023","6527","Suite","Test","testcases.LoginTestCases","testcases.LoginTestCases","loginSccuessWithValidData","loginSccuessWithValidData",""
"passed","Thu Jul 13 16:30:48 BDT 2023","Thu Jul 13 16:30:52 BDT 2023","4429","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","termTerminationTittleVerify","termTerminationTittleVerify",""
"passed","Thu Jul 13 16:27:06 BDT 2023","Thu Jul 13 16:27:16 BDT 2023","10219","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageSeeAllTemplateButtonTest","landingPageSeeAllTemplateButtonTest",""
"passed","Thu Jul 13 16:36:40 BDT 2023","Thu Jul 13 16:36:53 BDT 2023","12816","Suite","Test","testcases.DashboardProfilePageTestCases","testcases.DashboardProfilePageTestCases","personalInfoValidationTest","personalInfoValidationTest",""
"passed","Thu Jul 13 16:31:16 BDT 2023","Thu Jul 13 16:31:28 BDT 2023","11918","Suite","Test","testcases.BlogPageTestCase","testcases.BlogPageTestCase","vlog10TittleUrlVerify","vlog10TittleUrlVerify",""
"passed","Thu Jul 13 16:38:20 BDT 2023","Thu Jul 13 16:38:32 BDT 2023","11947","Suite","Test","testcases.RegisterTestCases","testcases.RegisterTestCases","registerPageTermsandConditionLinkcheck","registerPageTermsandConditionLinkcheck",""
"passed","Thu Jul 13 16:22:56 BDT 2023","Thu Jul 13 16:23:19 BDT 2023","23071","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","footerNewsLetterSubcriptionInvalidMail","footerNewsLetterSubcriptionInvalidMail",""
"passed","Thu Jul 13 16:30:04 BDT 2023","Thu Jul 13 16:30:09 BDT 2023","4964","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","electronicCommunicationsTittleVerify","electronicCommunicationsTittleVerify",""
"passed","Thu Jul 13 16:27:48 BDT 2023","Thu Jul 13 16:27:54 BDT 2023","6230","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageTittleSentence","landingPageTittleSentence",""
